Feed_rate_SLPM,Rinse_rate_SLPM,Pad_bar,Pde_bar,pred_R,pred_P,pred_V,obj,Productivity
6.979227423667908,1.7632913947105409,5.629318362474441,0.10564554333686829,70.18422634124755,98.17319107055664,2.394642482995987,0.8330446578807043,27.205973751650507
2.8441677819937468,1.2571266401559116,2.5839184508658946,0.07161296615377069,85.64402839660644,90.83398826599121,1.3831041657924652,-0.028868712212639546,13.529124917320985
3.6198974531143904,1.9481403004378082,5.046222025901079,0.12959500895813109,82.35046813964844,97.23297325134277,2.2075224924087524,0.20337895689574825,16.55692751470342
6.252026764675975,0.8288239078596235,4.203019329812378,0.09488063147291541,73.91859268188476,87.8570834350586,1.4145430648326873,-0.09932012880076214,25.6679938052419
5.03976015560329,1.9095972800627352,3.0314940893091262,0.08575760871171952,55.93633583068848,99.99407432556153,1.8647442615032197,2.276903142326641,15.657459250989259
4.666442079469562,1.1108007270842792,6.06532173473388,0.13854599986225366,88.63155372619629,82.12451049804687,1.6183378386497498,-0.1460136032397109,22.971621385356357
2.3952910285443068,1.4761945765465498,3.6069239935837687,0.0618082357570529,94.03216423034668,87.65658233642579,1.3831581115722655,-0.044343241898682245,12.509850715527216
7.2656787019222975,1.3007896231487392,4.454021176695823,0.11527900584042072,63.86915981292724,91.91457748413086,1.8000520813465117,-0.12857757855853336,25.7741765697877
7.068388077215698,2.0461713577611707,4.8730027017206705,0.10726336496842287,48.343867263793946,99.9913776397705,2.3403023409843446,2.66384597322615,18.979255916049485
6.525141550701936,2.0083556663838587,6.281582213398884,0.07380408092758863,77.16314437866211,99.77074241638184,2.6174989700317384,3.297047671652655,27.965156972740374
6.096566426775546,2.1,6.4,0.15,63.537907104492184,99.9759310913086,2.424995741844177,2.941716968755292,21.514716259443894
5.686116525578508,2.1,5.7741389786640465,0.05,81.77072486877441,99.61346977233887,2.6205774307250977,2.707496115922839,25.824445815764477
8.0,1.9762334702170246,6.4,0.06225483891579713,68.92626136779785,99.77760070800781,2.6685523629188537,3.6036368973490136,30.626129666910785
8.0,1.7509546019537983,2.5,0.05,36.120399475097656,99.99672325134277,1.9161196446418762,2.3323349119517967,16.04944205579361
8.0,1.95630008030209,6.4,0.15,56.33203956604004,99.82951324462891,2.422398495674133,3.0252888978485055,25.030116444950753
5.511090103254739,2.1,2.5,0.15,27.697624263763426,99.99724487304688,1.6385273492336274,1.219364136856896,8.478078597121442
7.236075893919101,1.9546886284181,4.815639336873643,0.05,61.87305950164795,99.97051086425782,2.486244568824768,3.480493982574351,24.866926583990093
7.538393576013148,2.1,6.4,0.05,67.31142639160156,99.97310333251953,2.7069520378112792,3.8674103130817405,28.18285648948394
6.667832699903669,1.9458452751676483,3.9920579346790186,0.05,59.9184415435791,99.993349609375,2.0482058930397034,3.1949752280859776,22.190271248040602
7.249741726696643,2.0516793195113374,6.4,0.10757906117771886,64.29175239562989,99.94516510009765,2.5397318410873413,3.4660998293266565,25.88780364453696
7.204422936223799,2.0299171499789685,6.4,0.05,74.24749031066895,99.8995588684082,2.699941177368164,3.8684765661001195,29.709708174500232
7.2564006633194404,2.1,6.4,0.11653795981660174,59.25262027740479,99.97610023498535,2.520412106513977,3.256779496435688,23.880654329593355
8.0,1.9783850439237212,4.746874896629456,0.05,54.14634376525879,99.98328659057617,2.4631407332420348,3.3859207305578876,24.058942299149447
6.934237587482428,2.1,6.4,0.05,72.63291870117187,99.9636329650879,2.703102476596832,3.8246510736267,27.973681221590116
7.424313852926923,2.0509048965995547,5.794150243203151,0.05,64.33887851715087,99.95471527099609,2.6413330483436583,3.615257882964465,26.530608850287035
7.5499139267723345,1.9653027964016727,4.24700859258381,0.05,52.65796394348145,99.99075393676758,2.19721750497818,3.1468739642054966,22.081240638194473
7.659164382369292,2.003928610821419,6.4,0.05,71.94636596679688,99.90118850708008,2.7011085176467895,3.986241028801809,30.60607656803256
7.258681723388447,2.0579425153781807,6.4,0.05,72.07473045349121,99.93533058166504,2.702710087299347,3.8855641326604107,29.057496105852664
7.124075931436585,2.0749363273506294,6.4,0.13581931184538992,59.06490154266358,99.96525947570801,2.469561972618103,3.1588604878426425,23.370899694243672
7.910868532454357,2.068110173692568,5.570159918674091,0.05,57.99055950164795,99.97844680786133,2.6268668723106385,3.5319266553573136,25.479967722493583
8.0,0.8,6.4,0.05,81.70590209960938,87.29501907348633,1.9312370657920837,-0.24917229024432086,36.30453041550922
8.0,1.7508717789208819,6.4,0.05,76.62176300048829,96.85229827880859,2.5654212760925295,0.19694406549630916,34.04548574654884
8.0,1.8747040045112198,6.4,0.05,74.00507263183594,98.99263404846191,2.6691037464141845,2.029975027370595,32.88280700932744
8.0,1.061635636548704,6.4,0.05,81.26837310791015,87.63454528808593,2.057976930141449,-0.2563570912941495,36.11012237179842
8.0,1.674993279260029,6.4,0.05,77.18611129760743,95.83379432678223,2.4994090962409974,-0.05629877774782294,34.29624364030203
8.0,1.8156190088298658,6.4,0.05,75.48948272705078,97.8103483581543,2.623388953208923,0.6870253532208039,33.54237761641917
8.0,1.9371933556835341,6.4,0.05,71.70105407714844,99.55105377197266,2.6896439385414124,3.125921144706995,31.859058301497555
8.0,0.9272057345965733,6.4,0.05,81.70590209960938,87.2745580291748,1.9992569267749787,-0.2526933812533475,36.30453041550922
8.0,1.575362526574805,6.4,0.05,78.45936981201172,94.12653076171875,2.4291679072380066,-0.21535446043524095,34.86199288576832
8.0,2.0782760090774635,6.4,0.05,64.71669158935546,99.96064765930176,2.707677221298218,3.899728367401165,28.755683956986967
8.0,1.3902978654005302,6.4,0.05,79.2608871459961,91.08878387451172,2.3074066972732545,-0.2657066646978271,35.21813252418415
8.0,0.8396058071475448,6.4,0.10463693020735339,73.6266226196289,86.44967536926269,1.7898867166042327,-0.24667401419842735,32.71464963481892
8.0,1.2310009411899574,6.4,0.05,80.34184112548829,88.76910583496094,2.131699402332306,-0.2609480961226497,35.69843474982261
7.397901959656049,1.9266956546189786,4.769062285586318,0.11608357349689613,51.531546096801755,99.97282432556152,2.2684046459197997,2.9496592794171304,21.173816826510958
7.172137163351859,1.5098738094616417,6.4,0.05,84.34972747802735,92.15403938293457,2.353562803268433,-0.2394628071701418,33.60080465674513
8.0,0.8721260813028702,5.684621466427721,0.05,77.75451423645019,87.89975509643554,1.9355730438232421,-0.20722588724493132,34.54880314030394
6.766578337836202,2.014345368773997,6.4,0.15,63.50178020477295,99.92639450073243,2.422648694515228,3.1430056229882966,23.865603548752222
8.0,2.066128846302441,6.4,0.09392819249934158,60.011889953613284,99.95766799926758,2.5771012353897094,3.5918277876530325,26.665190985310247
2.0,2.1,2.5,0.05,85.72550201416016,96.26327697753906,1.6707039952278138,0.054237273521084234,9.522641618544572
7.2343869128405975,2.0187328105932334,5.681154534305815,0.09690500725167206,60.29107849121094,99.95447082519532,2.505888032913208,3.297563062708865,24.225468919202147
