Feed_rate_SLPM,Rinse_rate_SLPM,Pad_bar,Pde_bar,pred_R,pred_P,pred_V,obj,Productivity
5.697155833244324,1.3744707942008971,6.376569384336472,0.08086219429969788,89.65421646118165,86.938228225708,2.0329662120342253,-0.19619463427061778,28.369143594801113
3.849359942600131,1.9127080018632114,3.1502010520547628,0.11296776868402958,63.79988487243652,99.85316764831543,1.7407806456089019,1.7796470283759218,13.64035976643587
2.6235871594399214,1.117288313433528,5.083981984481216,0.06502024782821536,98.15886238098145,73.47745681762696,1.3354825401306152,-0.07301040710207435,14.30350330082615
6.728699389845133,1.5529404983855786,4.408414485491813,0.12822416480630636,62.445175666809085,96.36970878601075,1.8884538435935974,0.09929236628359149,23.337128918812734
7.390785183757544,0.9561289260163903,2.5032371535897253,0.1457053329795599,37.56629806518555,89.8291554260254,1.2178016233444213,-0.053856115359410525,15.420781618514413
3.250290682539344,1.7166135280393064,5.743860710971058,0.06062338361516595,95.66707252502441,85.89237556457519,1.9208997249603272,-0.11770489041724705,17.27038800477969
4.276761656627059,1.2158814758062364,3.8385642660781745,0.11111298780888318,83.04559646606445,88.71934883117676,1.3773295783996582,-0.06589586159768665,19.726455806552288
6.183360140770674,2.078968440461904,4.496004797518253,0.09462942807003855,52.65162956237793,99.99478416442871,2.1982311677932738,2.5701695881233437,18.082304009964208
5.957339049237063,1.5602680717937143,6.4,0.11997391657636079,83.73633972167968,91.5445157623291,2.140579005479813,-0.20685031676691001,27.706629563869765
6.136921748112271,1.7789074627317938,4.4065988785362205,0.11482563531786878,65.78510822296143,99.44578521728516,2.0570488786697387,2.0963036200334413,22.423096528417776
5.937189507552713,1.6183265665037603,5.287801986796694,0.12041769847795276,74.74461456298827,95.04033729553223,2.1837940227985384,-0.06935353252529547,24.647803634848845
6.4339706898198274,1.807548803878828,3.340080750201398,0.11020374157139429,46.67217021942139,99.98500679016114,1.7776068186759948,2.3913144424278743,16.6784036816755
6.388334368339114,2.1,6.4,0.09900639629460012,69.93305084228516,99.97229446411133,2.5614718532562257,3.4076454744197866,24.8134711267804
6.7112973062047745,1.7126190810135729,6.4,0.09816808068813661,79.54712936401367,95.64927993774414,2.367944668531418,-0.07121159851018902,29.65161806059875
8.0,1.9397107928513828,6.4,0.09555844309774575,65.3306983947754,99.67161819458008,2.5628192377090455,3.122642032745996,29.028506705036694
8.0,2.1,5.526202725337713,0.10425162106730719,45.917667922973635,99.98842666625977,2.4679739356040953,2.8103765482609546,20.402679964129764
8.0,2.1,6.4,0.08008163821423195,59.417409896850586,99.97568565368653,2.6202091646194456,3.60373566296154,26.401044592607263
8.0,1.7760107171214903,6.4,0.09151145045919709,70.640576171875,97.33321983337402,2.494466955661774,0.3563328774789205,31.387854246739817
8.0,2.1,6.4,0.09286996329333141,57.09427070617676,99.9762809753418,2.5816123270988465,3.454250945240914,25.368799978204034
8.0,1.8714654698006847,6.4,0.08601040413524523,68.80536773681641,98.95167922973633,2.5824839878082275,1.8065030072532922,30.572412782448065
8.0,2.0040688513662066,6.4,0.08683160205700528,64.83679901123047,99.91400535583496,2.597818353176117,3.7695359189388427,28.80905150374355
8.0,1.8463571464894277,6.4,0.07136945410319465,72.08095565795898,98.5672135925293,2.590891559123993,1.356405581848887,32.0278606540941
8.0,1.9560760901748055,6.4,0.06036077298615735,69.91540962219239,99.67605606079101,2.6717055869102477,3.369890712259051,31.06563968961802
6.1914122758878145,1.9298676966747164,4.438615128640257,0.15,48.28559562683105,99.97865119934082,1.9747891080379487,2.3261146289301835,16.604458777508754
7.283575775860128,2.043239110640219,5.821038422658725,0.05,66.45537574768066,99.94562492370605,2.64139475107193,3.6418772606166043,26.883893614850734
7.270130294809626,2.010304979690521,5.667328337869966,0.09111096935631395,61.422731742858886,99.9495858001709,2.5193696999549866,3.3678571320181443,24.802115708646678
5.605904192690546,1.8744205266605858,3.6107536991998694,0.05,71.66878814697266,99.92317344665527,2.020974040031433,3.071509729345628,22.314807237407905
4.443183722726012,2.1,3.8311168576364043,0.05,79.64219299316406,99.96080375671387,2.0505369305610657,2.778322957439816,19.654178176432954
